Fund Name,Funding Source,URL,Deadline,Description,Criteria,Ammount,Restrictions,Timeline,Point of Contact,GA Point of Contact/Committee Rep,Keywords,"Main category (health, population subset, etc)"
Student Technology Fund,Student Technology Fund,https://techfund.berkeley.edu/applicants/,Oct 7 2019,Provides funding to negotiate with commercial software vendors on behalf of students to secure volume licensing of software such as Microsoft Office and Adobe Creative Cloud. It also provides funding to support additional student technology services and initiatives.,"Any student, faculty member, or staff member of UCB or any association thereof. Individual students must obtain a fiscal sponsor to administer awarded funds, such as a registered student group, academic department, or other functional unit.","$5,000",Fee funds are prohibited from subsidizing core information technology infrastructure.  Funds cannot be used for the development of privately held IP.,N/A,,,,
GMER,GA,https://ga.berkeley.edu/funding/types-of-funding/,"Fall: Mid Sept(Sept 16, 2019) Spring: Mid January (Jan 20 2020)",Supports general operations of Graduate Student Organizations,"All Registered Graduate Student Organizations are eligible. Must be registered as an RSO, complete the online funding workshop, verify delegate representation, complete the funding quiz, and fill out the funding application within the deadline. See Link",$500/semester,See Here,"Fall: Oct 11 --> Dec 2
Break: Dec 3 --> Feb 9
Spring: Feb 10 --> May 11",funding-ga@berkeley.edu,funding-ga@berkeley.edu,"GA, RSO, GRSO, General Funding, Operations",General
GA Grant,GA,https://ga.berkeley.edu/funding/types-of-funding/,"Fall: Mid Sept(Sept 16, 2019) Spring: Mid January (Jan 20 2020)","Funds events, projects, and activities in the areas of Student Activism, Campus Diversity, Community Service, and Educational Improvement.","All Registered Graduate Student Organizations are eligible. Must be registered as an RSO, complete the online funding workshop, verify delegate representation, complete the funding quiz, and fill out the funding application within the deadline. See Link",$1500/grant,See Here,"Fall: Oct 11 --> Dec 2
Break: Dec 3 --> Feb 9
Spring: Feb 10 --> May 11",funding-ga@berkeley.edu,funding-ga@berkeley.edu,"GA, RSO, GRSO, Events, Operations, Grant, Activism, Diversity, Community",General
GA Publication,GA,https://ga.berkeley.edu/funding/types-of-funding/,"Fall: Mid Sept(Sept 16, 2019) Spring: Mid January (Jan 20 2020)",Provides funding for student journals and student group newsletters.,"All Registered Graduate Student Organizations are eligible. Must be registered as an RSO, complete the online funding workshop, verify delegate representation, complete the funding quiz, and fill out the funding application within the deadline. See Link",$1200/semester ($250 for OUTSIDE (non-student) professional editing services,See Here,"Fall: Oct 11 --> Dec 2
Break: Dec 3 --> Feb 9
Spring: Feb 10 --> May 11",funding-ga@berkeley.edu,funding-ga@berkeley.edu,"GA, RSO, GRSO, Journal, Printing, Newsletter, Publication",General
GA Contingency,GA,https://ga.berkeley.edu/funding/types-of-funding/,"Monthly during school year, once each during Winter and Summer breaks","Provides funding for events, projects, or activities that (a) could not be anticipated and applied for in the normally scheduled funding application process; (b) occur outside the grants and GMER rounds, i.e. academic breaks from December to January or May to August; or (c) are not covered under other categories.","All Registered Graduate Student Organizations are eligible. Must be registered as an RSO, complete the online funding workshop, verify delegate representation, complete the funding quiz, and fill out the funding application within the deadline. See Link",$1200/month per group,See Here,"Summer July 1 --> Mid October
October: Mid October --> Early December
November: Mid November --> Early December
Break: Early Dec --> Early February
Feb: Early February --> End of June
March: Early March --> End of June
April: Early April --> End of June
May: Early May --> End of June
Summer: Early June --> End of June",funding-ga@berkeley.edu,funding-ga@berkeley.edu,"GA, RSO, GRSO, General Funding, Operations, Emergency",General
The Green Initiative Fund,,http://tgif.berkeley.edu/,,,,5000,,,,,,
Wellness Fund,,,,,,"5,000",,,,,,
QTAP Project Funding,,,,,,"1,000",,,,,,
CACSFF (One-Time),,,,,,,,,,,,
Big C,,,,,,,,,,,,
